0.05	315	17.7482393492988
0.15	290	17.0293863659264
0.25	297	17.2336879396141
0.35	304	17.4355957741627
0.45	308	17.5499287747842
0.55	309	17.5783958312469
0.65	283	16.8226038412607
0.75	314	17.7200451466694
0.85	321	17.9164728671689
0.95	229	15.1327459504216
1.05	247	15.7162336455017
1.15	295	17.1755640373177
1.25	285	16.8819430161341
1.35	293	17.1172427686237
1.45	254	15.9373774505092
1.55	258	16.062378404209
1.65	279	16.7032930884901
1.75	270	16.431676725155
1.85	255	15.9687194226713
1.95	261	16.1554944214035
2.05	263	16.2172747402269
2.15	243	15.5884572681199
2.25	277	16.6433169770932
2.35	309	17.5783958312469
2.45	326	18.0554700852678
2.55	325	18.0277563773199
2.65	264	16.2480768092719
2.75	224	14.9666295470958
2.85	206	14.3527000944073
2.95	146	12.0830459735946
3.05	161	12.6885775404495
3.15	149	12.2065556157337
3.25	130	11.4017542509914
3.35	145	12.0415945787923
3.45	127	11.2694276695846
3.55	138	11.7473401244707
3.65	124	11.13552872566
3.75	113	10.6301458127347
3.85	118	10.8627804912002
3.95	94	9.69535971483266
4.05	85	9.21954445729289
4.15	98	9.89949493661167
4.25	60	7.74596669241483
4.35	62	7.87400787401181
4.45	68	8.24621125123532
4.55	61	7.81024967590665
4.65	53	7.28010988928052
4.75	46	6.78232998312527
4.85	35	5.91607978309962
4.95	40	6.32455532033676

